"","name","category","review.point","price","currency","description"
"279","Compass Box 3 year old Deluxe, 49.2%","Blended Malt Scotch Whisky","91","300","$","Not the pimply youth you might be mistakenly expecting, this tongue-in-cheek release is impishly contemptuous of the regulations challenged by Glaser during the transparency debate. Lemon bonbon, heavy vanilla scents, beeswax boot polish, and white chocolate are well integrated with peat. The exotic fruits and citrus zest tumbling with golden syrup are knocked sideways by clove and pepper. Water provokes more sweet smoke. A dry, spicy, waxy finish remains. (3,282 bottles)"
"280","Compass Box Spice Tree, 46%","Blended Malt Scotch Whisky","91","65","$","The tastiest of their Signature range, this boasts a dry oak and spice nose with fudge, rye bread, and banana interwoven with French oak influences of nutmeg, cinnamon, and ground ginger. As the gentle orange, malt, pear, and apple settle down, little spicy explosions of ginger and pepper detonate, leaving an aftermath of spiced malt, coffee cake, milk chocolate, and cocoa. Such a wonderful flavor trajectory to behold."
"281","Compass Box Great King Street Artist's Blend, 43%","Blended Scotch Whisky","91","45","$","After a series of esoteric and expensive releases, Compass Box has decided to bring it all back to the people with a blend — and how! The journey sets out as we might expect; all sweet vanilla ice cream, stewed pear tart, and peach melba, but then a wave of spice and white pepper provides an unexpected but delightful twist. It’s like Spice Tree meets Hedonism…Spiconism if you like."
"282","John Walker & Sons Private Collection 2014 Edition, 46.8%","Blended Scotch Whisky","91","840","$","Smoke begins Jim Beveridge’s public replication of the annual Directors Blend concept, built around Johnnie Walker’s signature characteristics. Peat smoke harks back to Islay, but there’s wood smoke, tobacco leaf, and malt, with a salty richness behind it. The grain just gives it a lift of extra sweetness. Polished, with great structure; red apple, raspberry, and sweet linctus wrap up with a long, smoky finish of cigar stub and peat stores. Clear parallels with Directors Blend 2009, but better. (8,888 decanters released) £500"
"283","Johnnie Walker Blue Label Ghost and Rare, 46%","Blended Scotch Whisky","91","400","$","This is much more muscular than the regular, un-haunted Blue Label. It delivers a multitude of flavors—butter toffee, sweet smoke, citrus peel, and dry spices—tantalizingly peeling off layer after layer, building a slow crescendo to a peak of spices and bitter citrus. Mouth drawing with caramel, apple, pear, and sherbet, a mid-palate of zesty orange and baking spices before topping out with bitter peels, grapefruit, smoke, and sour hard candy."
"284","Dewar's Founder's Reserve, 18 year old, 40%","Blended Scotch Whisky","91","80.00","$","Available for several years, but now finally making its debut in the U.S. The higher-end Dewar’s expressions (Dewar’s 12 year old and Dewar’s Signature) are very good blends. This one is situated smartly between the two. The malt proportion is rich and creamy; the grain whisky is crisp and well-integrated. Antique gold color, with notes of butterscotch, vanilla wafer, strawberry rhubarb pie, and citrus drizzled with honey. Lovely floral notes in the aroma, along with a pleasing, dried spice finish. I could drink this stuff all day long!"
"285","Dewar’s 30 year old Ne Plus Ultra, 40%","Blended Scotch Whisky","91","499","$","This Pedro Ximénez-finished blend is the oldest Dewar’s expression available. It offers a deliciously deep nose of chocolate-dipped biscuits, dried fruits, and orange peel. The palate includes indulgent rewards of berry fruit, chocolate praline, raspberry, cherry, dried cranberry, and hazelnut. It remains succulent throughout, the sherry fruit keeping the upper hand over the chocolate and batting away the occasional coffee note. A dry finish with nutty chocolate and roasted spice. (Global Travel Retail only)"
"286","Classic Cask 23 year old Original Cask, 43%","Blended Scotch Whisky","91","160","$","This archetypal midnight dram enthralls with aromas of cedar wood humidor, blossom honey, hazelnut, vanilla pod, treacle cake, and maple syrup. Dry as leaves, save for some floaty florals. It’s less weighty than some whiskies at this age, with a balanced show of cinnamon, cocoa, berry fruits, dried grapefruit, hard peel, wood spices, dark toffee, and oak. A finish of dark vanilla, oak, spice, and leather make for a fine digestif. (782 bottles)"
"287","Aberlour 18 year old, 43%","Single Malt Scotch","91","100.00","$","There was an Aberlour 18 on the market for a spell several years ago, aged in sherry casks, that I really enjoyed. Now we have this new 18 year old expression. There are big shoes to fill, and this whisky fills them quite nicely. Once again, the sherry is prominent throughout, with its lush fruit, velvety texture, and sweet demeanor. But it’s not cloying or sappy — the sherry blends in nicely with the rest of the flavors. Ripe orange, apricot preserve, peach cobbler, chocolate-covered caramel, and toffee, with a sprinkling of cinnamon and cocoa. Rich, silky smooth, satisfying finish. Very impressive. The Aberlour 18 year old’s reputation remains intact!"
"288","Ardbeg Ardbog, 52.1%","Single Malt Scotch","91","100","$","The follow-up to last year’s Ardbeg Day, here’s the cult distillery in its funkiest
guise with a nose that’s reminiscent (I’d imagine) of a frontier trading post:
all pitch, furs, and gun oil. Some mint hangs around in the background
alongside eucalyptus. This is an earthy, in-your-face Ardbeg with a hint of
box-fresh sneakers indicating some youthfulness. The mouth is thick and chewy:
wild mint, oily depths, and the slightly manic energy typical of Ardbeg’s young
years. Editor's Choice."
"289","Ardbeg Supernova Committee bottling 2014, 55%","Single Malt Scotch","91","160","$","Pale and slightly flinty to start, with touches of Caol lla-style salt-washed rocks, but here there’s sweetness, while the smoke gives it a mezcal-like air; pears and burning wood (hot brake pads), minerality, then green olive and a light medicinal note. With water, sashimi-style cleanliness. The palate is rounded, with real olive oil, peppery sweetness, soot, and white chocolate. A real ‘palate whisky,’ filled with bare-faced bravado.  A great Ardbeg."
"290","Ardbeg Supernova 2015 Release, 54.3%","Single Malt Scotch","91","160","$","Apparently this is the final Supernova release and the Ardbeg team has ensured it goes out with all guns blazing. Although it seems calm initially—there’s a minty and sweet spicy element to the fore—the smoke begins to push through in the guise of creosote, then sootiness which, in turn, mingles with seaweed aromas. The peat dominates the palate but there is sufficient oiliness to round it out and add layers of smoked fish, and dried grasses. Farewell."
"291","Ardbeg Dark Cove Committee Edition, 55%","Single Malt Scotch","91","110","$","This is the bigger, spicier, and more complex of the pair (see below). A prickly start leads to heavy peat smoke, pink and Szechuan peppercorns, vanilla, dark chocolate, angelica, then seaweed. The palate is oily, with a detonation of gunpowdery peat, licorice, smoked eel, and a feral edge that adds grunt. Layered and complex."
"292","Ardbeg Twenty Something, 46.3%","Single Malt Scotch","91","550","$","This 23 year old expression was released for the Ardbeg Committee. It includes whisky matured in sherry and bourbon casks. Sweet asphalt, bonfire smoke, lemon sponge drizzled in iodine, and background cinnamon on the nose. Succulent, sherried, and chocolate-coated orchard fruits on the oily palate, with vanilla and sweet peat. The peat dries slowly in the finish, with developing licorice, kippers, and peppery oak"
"293","Ardbeg Grooves, 46%","Single Malt Scotch","91","110","$","The 2018 Ardbeg Day limited-edition bottling includes a proportion of spirit matured in red wine casks which have been heavily charred, leaving deep grooves in the surface of the oak. Fragrant soft smoke, warm leather, and salty red berries on the nose; background charcuterie. The palate offers red berry fruits, vanilla, dense peat smoke, brine, and asphalt. Beach bonfires and black pepper in the sweet finish."
"294","Auchentoshan 21 year old, 43%","Single Malt Scotch","91","115.00","$","I feel this is by far the best whisky in the standard Auchentoshan portfolio, and it is one of the best Auchentoshans ever released. It’s delicious, nicely balanced, and with lovely depth for a Lowland whisky. Baked muffins, creamy vanilla, honey, and caramel blend nicely with delicate fruit notes (lemon, red current, strawberries). An impeccably balanced whisky. Similar to the 10 year old reviewed below, but with greater depth and a drier finish. 
"
"295","Balblair 1995, 46%","Single Malt Scotch","91","80.00","$","The latest Balblair release is a 1995 vintage expression, exclusive to global travel retail outlets. Matured in second-fill bourbon casks, Balblair 1995 is non-chill filtered and naturally colored. Initially very fruity on the nose, with peaches and carnations, icing sugar on bonbons, then a faint sprinkling of black pepper. Stewed fruits on the early palate, full and confident, with developing spices and brittle toffee. Relatively lengthy in the finish, with dark chocolate and soft oak. Price is per 1 liter."
"296","The Balvenie Single Barrel, 15 year old (Cask #7266), 47.8%","Single Malt Scotch","91","62.00","$","One of the finest Balvenie 15 year olds I’ve tasted. The flavors are clean, well defined, confident, and beautifully balanced. Full malty foundation (with some ripe barley thrown in). Soft, creamy vanilla, honeycomb, bright fruit (orange, nectarine, lemon peel, hints of pineapple), with emerging dried vanilla, coconut, oak resin, and subtle anise. Polished oak finish. It doesn’t have the depth that the classic older Balvenies have shown in the past, but what it does have, it has in spades. Beautiful! (A Julio’s Liquors exclusive.)"
"297","Balvenie Tun 1509, 47.1%","Single Malt Scotch","91","369","$","This newbie from Balvenie is the worldwide replacement for the market-specific Tun 1401. A larger volume vat (8,000 liters) is now being filled with an equally eclectic mix of casks (42 casks ranging from 1970 to 1992). Deep amber; this has substance but being Balvenie, it’s gentle: orange blossom/Manuka honey edged with spice, marmalade, scented woods, and a little frangipane. The palate shows a supple, rippling power with some apricot, cinnamon, and root ginger. Awfully good. £230"
"298","Balvenie PortWood 21 year old, 40%","Single Malt Scotch","91","220","$","This is the ultimate PortWood expression from Balvenie and has been finished in 30 year old port pipes. A more vibrant and textured Travel Retail variant is non-chill filtered and bottled at 47.6%. Soft, red grape notes, vanilla, and milk chocolate on the nutty nose. Very discreet smoke. Rich plum flavors in the mouth, dark berries covered in cream, and spicy honey. The finish is long and elegantly drying."
"299","Balvenie Tun 1509 (Batch 3), 52.2%","Single Malt Scotch","91","350","$","The third batch in this series comprises twelve sherry butts distilled between 1989 and 1992, eleven American oak hogsheads from 1989, and eight refill American oak butts distilled in 1992 and 1993. Rich sherry, honey, and malt notes on the nose, with figs and citrus peel. Silky on the palate, with Jaffa oranges, raisins, ginger, and plain chocolate. Licorice, sherry, and spicy oak in the very long finish. (8,850 bottles)"
"300","Adelphi (distilled at BenRiach) 1977 34 year old, 48.8%","Single Malt Scotch","91","283.00","$","Sweet and sherried, with plenty of sugar and toffee, moving into plums and thick chestnut honey. Give it time, however, and a haunting note of dried mango and guava emerges, followed by amontillado-style nuttiness and then beeswax polish. All in all, just what you want from a gently-aged BenRiach. The palate may seem initially grippy, but there’s such a massing of fruits that it copes well. Keep neat for maximum impact. Superb. £180"
"301","Benromach 1975, 49.9%","Single Malt Scotch","91","1600","$","This vintage bottling was distilled during the 1970s and spent 41 years in a refill bourbon hogshead (#3434). Spicy on the early nose, with fresh oak. Increasingly malty, with ginger and apricot. The palate is rich and full, with Jaffa orange, stewed apples, cocoa, and pipe tobacco. Plain chocolate and increasingly tannic oak in the finish. Ultimately, warming spicy citrus fruits and smoky black pepper. (162 bottles) £1,250"
"302","Benromach 1977, 56%","Single Malt Scotch","91","1,735","$","This 39 year old was matured in a single refill American hogshead. Orange Jujubes on the early nose, with vanilla, honey, and linseed. Big, sweet, soft fruit notes on the palate, with pipe tobacco and a hint of background peat smoke. Aniseed and ginger develop, along with the merest hint of old oak in the persistently fruity finish. £1,250; Not available in the U.S. (225 bottles)"
"303","Bowmore, 25 year old, 43%","Single Malt Scotch","91","160.00","$","Amber chestnut color. Aromas of rich sherry, ripe fruit, toffee, molasses, peat smoke, damp oak, and nuts. Medium to full in body. Its flavors start out rich and sweet, with sherried fruit, toffee, and dark chocolate. It then becomes drier with notes of peat, smoked nuts, seaweed and brine, ultimately finishing with notes of spice, bitter chocolate, and smoky smoldering embers. 
   Style: Islay single malt Scotch whisky. Price: approx. $160. Available at specialty retailers nationwide. 
   This is a new bottling of Bowmore 25 year old and an improved one at that. It is richer, fuller, and more balanced than its predecessor. A wonderful dram indeed. The 17 year old was my favorite of the standard Bowmore line. Not anymore."
"304","Bowmore, 18 year old, 43%","Single Malt Scotch","91","85.00","$","This replaces the 17 year old in the standard Bowmore portfolio. (The 17 year old will now be Duty Free Only.) The difference is significant. This one is more sherried than the 17 year old, and it wears the sherry well. I know that many of you, like myself, adore the 17 year old. Indeed, I feel that the 17 year old displays the true essence of Bowmore. But this 18 year old integrates the sherry notes with the Bowmore signature to create a richly flavored Islay whisky experience. Thick toffee, ripe fruit, and tar-tinged smoke are accentuated by dark chocolate, cocoa powder, burnt raisin, dates, and sea salt. Long, entertaining finish. 
"
"305","Duncan Taylor (distilled at Bowmore), Cask #85013, 22 year, 1982 vintage, 58.9%","Single Malt Scotch","91","100.00","$","A very clean, elegant Bowmore with a naked beauty that shows its Islay roots. You’ll find fresh brine and seaweed on a bed of honeyed malt and soft vanilla cream. Subtle berries, citrus, and melon fruit add a complex fruit dimension. Fresh, appetizing finish. Nicely done! (Exclusive to The Party Source.)"
"306","Bowmore Vault Edition Atlantic Sea Salt (First Release), 51.5%","Single Malt Scotch","91","140","$","This is the first of four bottlings in the Vault Edition series and was matured in bourbon barrels in the distillery’s famous No.1 Vaults. Nectarines in brine on the nose, with iodine and sweet spices. Medium-bodied on the palate, with peaches, vanilla, salt, and slightly bitter orange. Lingering orange notes in the finish, with cocoa powder and lots of salt. This expression lives up to its name!"
"307","Brora, 25 year old, 56.3%","Single Malt Scotch","91","350.00","$","Quite lively for 25 years, with layers of bright fruit (lemon, nectarine, grapefruit, pineapple) on a bed of vanilla and honey. There’s a peppering of dried spice, smoldering ember, and beach pebbles. Lightly smoky, dried spice finish. Very nice. Brora enthusiasts will not be disappointed, but the prices of the whisky from this shuttered distillery are creeping up.
"
"308","Bruichladdich Black Art 05.1 1992, 48.4%","Single Malt Scotch","91","330","$","As ever, the composition of Black Art is a closely guarded secret, and this is distiller Adam Hannett’s first such assembly. Rich aromas of fig, succulent autumn berries, sherry, cream, and malt feature on the complex, floral nose. Viscous on the palate, which opens dry, with developing berry fruits and spicy oak, plus dried fruits and candied peel. Long and drying in the finish, with plum and peppery oak."
"309","Bruichladdich 1986, 44.6%","Single Malt Scotch","91","1,100","$","This expression was distilled in December 1986 and filled into seven oloroso sherry butts. In 2012 the whisky was transferred to Pedro Ximénez butts for finishing. The nose yields sultanas, figs, old leather, and white pepper. Very sweet fruit notes on the palate, almost sugary, with background rich sherry, dates, and treacle. Long and warming in the finish, with a wisp of smoke and fruit spices. (4,200 bottles)"
"310","Scott","Single Malt Scotch","91","130.00","$","Gold color with amber hues. Mature aromas of toffee and nuts, marzipan and candied fruit. Medium body and chewy in texture. A very mature whisky with evolutions of flavors-toffee, caramel, fudge, nuts, fruitcake, and a long finish that dries out very nicely. Older expressions of Bunnahabhain are often quite delicious, and this one is no exception. The dryness of the oak balances perfectly with the sweeter toffee notes of the whisky, and the extra age imparts considerable depth."
"311","Caol Ila Feis Ile Bottling 2013, 56.5%","Single Malt Scotch","91","152","$","Although aged in refill, then active hoggies, and finally sherry, there’s more smoke
than oak here, a smoke like the aroma of a fire clinging to a tweed jacket. A
note akin to wilting spinach gives way to more conventional strawberries and
cream, but always mixed with seashore breezes. This is Caol Ila in deep and
bold mood with green fig, banana, and a sweet center. Water gives greater
integration. You might (just) be able to get this. Do it. (distillery only) £99"
"312","Signatory (distilled at Caol Ila) 1984, 54.7%","Single Malt Scotch","91","258","$","Clearly Caol Ila; it’s the way that the oily smokiness seems to lean into the nose, bearing with it wet oilskins, a barely smoldering wood fire, light seashore elements (drying crab shells), and very pure fruit, which then opens to classic smoked ham aromas. Retronasally, there’s a touch of green pea pod. The smokiness is more assertive than normal on the tongue, with olive oil, deep fruits, and a pine-scented juniper note. Another belter. (The Whisky Exchange only) £155"
"313","Clynelish, 57.3%","Single Malt Scotch","91","96.00","$","There’s something enigmatic and highly attractive about this distillery and its deceased brother, Brora. Perhaps it’s the unpredictability; there are plenty of independent releases of varied and often questionable quality, and you’re never quite sure what’s going to turn up. Even iconic expressions such as the 30 year olds can vary from quite sublime to appalling and sulfury when in the wrong hands.
When the malts from both distilleries are good, though — and the official bottlings tend to be — they’re very, very good. This Clynelish is a delightful surprise from the beginning, its nose some way removed from the official 14 year old, and more in common with some recent Diageo-release Broras, mixing soft maritime notes with squiggly peat and some fruit notes. The palate is complex and attractive, with savory peat, sweet pineapple, salt, light fish, drizzled lemon, pepper, chili, and cardamom. It all makes for a big, complex, evolving (and grown up) whisky — and great value for the price tag. "
"314","Cragganmore 25 year old (Diageo Special Release 2014), 51.4%","Single Malt Scotch","91","500","$","The question is how this stacks up against the Friends of the Classic Malts bottling, one of my 2014 highlights. This shows mature distillery character with that discreet meaty undertow bedding down exuberant top notes: icing sugar on rhum baba, preserved lime, crystallized fruits, honey, pecan, fig, and scented woods. Typical of Cragganmore in its constantly shape-shifting character. The palate is concentrated orchard fruits, dried fruits, light spice, chestnut puree, and a little smoke. So yes, in the same league. (3,372 bottles)"
"315","The Dalmore Mackenzie, 1992 Vintage, 46%","Single Malt Scotch","91","175.00","$","A tribute to the Mackenzie Clan. Aged in bourbon barrels for 11 years, and then aged an additional 6 years in port pipes, creating a rich, voluptuous, robust Dalmore expression. Notes of toffee, molasses, caramelized nuts, pancake batter, fig cake, and chocolate-covered citrus. Subtle glazed ginger and orange marmalade add complexity. Polished oak, tobacco-tinged finish. Very dynamic and never sappy or cloying. Save this one for after dinner."
"316","The Dalmore Distillery Exclusive 1991, 59%","Single Malt Scotch","91","236.00","$","Staff members at Dalmore selected this distillery-exclusive bottling, which has been drawn from American white oak cask number 446, and bottled at cask strength. The out-turn comprises 450 bottles. Refined, polished oak on the nose. Honey, marzipan, caramel, and vanilla. Fragrant, with old leather and over-ripe oranges when water is added. Warm leather, apricots, orange marmalade, cocoa powder, and developing spice on the palate. A long, spicy, citric finish. Finally, licorice. £150"
"317","The Dalmore 1969 aged 42 years, 45.5%","Single Malt Scotch","91","24000.00","$","Initially filled into an ex-bourbon cask, then transferred into a Gonzales Byass oloroso ‘Matusalem’ sherry butt in 2005 for four years, before a final two years in a freshly-emptied bourbon barrel. The nose is initially floral, with overripe Seville oranges, figs, ginger, and cocoa powder. Peaches and almonds on the palate, before dark fruits and salted nuts appear. Drying oak is held at bay, and the final note is fat and figgy. Cask number 14; 233 bottles."
"318","The Dalmore 21 year old, 42%","Single Malt Scotch","91","530","$","Dalmore released 8,000 bottles of its latest 21 year old, initially matured 10 years in American oak barrels before an 11 year period of secondary maturation in first-fill Matusalem oloroso sherry butts from Gonzalez Byass. Intense aromas of Jaffa orange, marzipan, and ginger, plus soft oak. Robust, yet stylish. Smooth and well-rounded on the palate, with milky coffee, orange marmalade, cinnamon, and developing spicy dark chocolate. The lengthy finish is spicy, with licorice, a hint of citrus, and sweet oak."
"319","Dalmore Port Collection Vintage 1996, 45%","Single Malt Scotch","91","592","$","Dalmore launched a trio of vintages finished in tawny port pipes. The pick of the bunch is the oldest, distilled in 1996, which displays a confident, rich nose of raisins, mildly smoky prunes, vanilla, and blood orange. Full-bodied in the mouth, with red berry fruits, ginger, white pepper, and spicy oak. Medium-length in the finish, with coffee-soaked oak, figs, and damsons at the close. £450"
"320","Glen Grant 25 year old, 43%","Single Malt Scotch","91","407.00","$","Glen Grant’s new(ish) owner Campari is putting its money where its mouth is. Investment in plant, wood, and an impressive visitor center is slowly being backed up with a series of new releases. This venerable example comes from Gordon & MacPhail’s stocks, but is an official bottling due out in time for Christmas. This is GG in relaxed, avuncular mode: subtle woods, amber, Oolong tea, anise. The palate is old apple, fresh plum, cream, and ginger spiciness. £255(Available at the distillery, in France, and Travel Retail in Asia only.)"
"321","Glen Scotia 25 year old, 48.8%","Single Malt Scotch","91","320","$","Maturation took place in refill bourbon casks before a final 12-month period in first-fill bourbon casks. Lemon, ginger, pine resin, and a hint of sea salt on the nose, then banoffee pie develops. Luscious on the palate, with subtle spice, a touch of ashy smoke, and principally big orchard fruit notes. Drying in the lengthy finish, with a wisp of smoke, brine, and peppery oak. Glen Scotia at its characterful best.£250"
"322","Glen Scotia 18 year old, 46%","Single Malt Scotch","91","113","$","New for 2017, this was matured for 17 years in bourbon casks before being finished in oloroso sherry casks for 1 year. The nose is fragrant, with prunes, oranges, vanilla, and faint wood polish. Ultimately, ozone. Silky palate delivery, with sweet sherry, honey, and dark chocolate-coated orange fondant creams, then a note of angelica. The finish offers spicy plain chocolate and a suggestion of sea salt. £86"
"323","Glencadam 25 year old The Remarkable, 46%","Single Malt Scotch","91","500","$","Nutty on the nose, with a whiff of new leather and tropical fruit, plus the aroma of unsmoked cigars. Complex on the full palate, with almonds, citrus fruit, ginger, plain chocolate, a slight herbal note, and sweet oak. The finish is long and spicy, with black pepper and increasing oak. An often underrated single malt at its very best. (1,600 bottles)"
"324","GlenDronach 25 year old Grandeur (batch 7), 50.6%","Single Malt Scotch","91","850","$","Matured in oloroso sherry casks. Confident plum, prune, and raisin notes on the early nose, with developing ripe cherries, sherried fudge, and resin. A slightly earthy undertone. Viscous in the mouth—very sweet—with developing tingling spices, then darker fruit notes emerge, with licorice and plain chocolate. The finish is long, with enduring dark chocolate and fruity spice. (1,180 bottles)"
"325","GlenDronach Single Cask #5476, 49.9%","Single Malt Scotch","91","418","$","The oldest of the fifteen expressions in Batch 16 of GlenDronach’s single cask release program, this cask-strength offering has been matured for 26 years in a Pedro Ximénez sherry puncheon. The nose yields fresh-from-the-oven Christmas cake, cherries, nutmeg, and sweet leather. Viscous on the palate, with dark sherry, raisins, plain chocolate, tangy orange, and caramel. Prickly chili and dates in the long finish. (546 bottles) £310"
"326","Glenfarclas, 1974 vintage, 57.4%","Single Malt Scotch","91","250.00","$","Dark, chestnut-copper color suggests a sherry cask, and one nosing confirms it. A very multi-faceted whisky-the sherry is quite profound, but there’s a lot going on in addition to the sherry. Deep, succulent, and chewy on the palate, with fig cake, raisins, old rum, tobacco, pencil shavings, and almond fudge. Quite a mouthful! 
"
"327","Glenfarclas 175th Anniversary, 43%","Single Malt Scotch","91","131.00","$","First things first — congratulations to the Grants of Glenfarclas on attaining their 175th anniversary. To celebrate, they have vatted together a cask from 1952 with one each from the following five decades — and released it at an exceptionally reasonable price! The nose has a lift of struck match immediately followed by cedar, pomegranate, blackberry jam, and Seville orange. There’s a thick caramel toffee sweetness to the palate alongside the classic ’Farclas depth where dried, but sweet, fruits repose. Recommended.  £80 (Dave Broom) (Value Pick) "
"328","Glenfarclas Family Cask 1970 (Cask 140), 57.1%","Single Malt Scotch","91","530.00","$","Another first fill sherry butt, giving its typical reddish-brown hue. This runs more into the clove, cassia, and allspice area than just dried fruit. While maturity is obvious, and there’s even a hint of dunnage/leatheriness, it is the concentrated fruit sweetness that surprises here. The distillery has fought back against the cask, and while still crepuscular in nature, there is a rich, concentrated, and mellow glow at its heart. £345"
"329","The Coronation (distilled at Glenfarclas) 1953, 51.1%","Single Malt Scotch","91","9500","$","Only 60 bottles have been released from this 60 year old first-fill sherry cask. Amazingly, the nose is not dominated by wood, but is mature and concentrated with the aroma of rain-moistened tweed, tropical fruit, blonde tobacco, cedar, and chanterelle mushroom. This elegantly faded, sepia-tinted impression continues on the tongue: fine-boned, mossy, clean, and slowly drying. A classic example of oxidation, not woodiness, allowing
freshness to be retained. Amazing. (The Whisky Exchange exclusive.) £6,000"
"330","Glenfiddich, Cask #4414, 1977 Vintage, 54.1%","Single Malt Scotch","91","750.00","$","Very elegant and refined. Obviously this whisky was aged in a pristine sherry cask. The flavors are quite clean and well-defined. Gently sweet and fruity, with golden raisin, candy apple, and red raspberry jam. There’s delicate pineapple, dried cherry, coconut, and vanilla too, with a polished oak finish. A very classy Glenfiddich. Not as bold and spicy as last year’s 1976 vintage (which I had a hand in selecting but, ironically, don’t like as much). This new vintage approaches the caliber of the 1973 Vintage release from two years ago which I still think is the best one in recent years. 
"
"331","Glenfiddich Winter Storm 21 year old, 43%","Single Malt Scotch","91","250","$","Glenfiddich’s Experimental Series continues with this expression, finished for up to 6 months in ice wine casks sourced from Peller Estates winery in Ontario, Canada. Concentrated aromas of canned peaches in syrup, vanilla, and clotted cream. Silky on the palate, with a carryover of peaches from the nose and succulent blood oranges. The finish is medium in length, slowly drying, but fruity to the end. (7,800 bottles in U.S.)"
"332","Glenglassaugh 30 year old, 44.8%","Single Malt Scotch","91","395.00","$","The first release from the new owners of Glenglassaugh distillery is obviously intended as a showpiece expression, and it does not disappoint. Due in the States next year. Damp moss and cedar on the early nose. Sultanas, candied orange, maraschino cherries, and sherry. Treacle notes in time. Spicy fruits, figs, brittle toffee, sherry, and ginger on the mellow yet robust palate. The finish is medium in length, with allspice and old oak, plus a wisp of tarry smoke. £245"
"333","Murray McDavid 'Mission' (distilled at Glenlivet) 1974, 46%","Single Malt Scotch","91","150.00","$","Deep gold color. Incredibly complex, subtle aromas of vanilla, honey, marshmallow, tropical fruit (pineapple, peaches, coconut), floral notes and a hint of almonds. Medium-full in body, and firm. On the palate, the flavors are complex and exhibit the same notes as the aroma, starting out gently sweet, but gradually becoming fruity and eventually drying out on the finish. 
"
"334","The Glenlivet Nadurra Triumph 1991, 48%","Single Malt Scotch","91","85.00","$","Richly textured with mouth-coating malt that is balanced by an array of lively fruit (fresh peach, nectarine, tangerine, pears in honey, and delicately caramelized pineapple). Creamy caramel, crème brûlée, anise, and subtle toasted marshmallow add complexity, as does its gently spicy, pleasingly dry finish. Two years older than the standard 16 year old Nadurra (which I like for its vibrancy and freshness). This new Triumph 1991 is richer and more textured, with more caramelized sugars, riper barley, and greater fruit impact. More mouth-coating too. (Exclusive to the U.S.)
"
"335","The Glenlivet Cellar Collection 1980 (bottled 2011), 43.3%","Single Malt Scotch","91","1593.00","$","A vatting of three first-fill American oak casks, for me this is the most lifted and effusive of the ongoing Cellar Collection range. The nose is full of aromas of anise, blackcurrant leaf, honeysuckle, jasmine, frangipani flowers, and a subtle almond sweetness. The palate continues in similar vein with more spice and just sufficient oak to add distinct structure and a coconut character. Sublime. It won’t, however, be released in the U.S. £1,000"
"336","Glenmorangie, 25 year old, 43%","Single Malt Scotch","91","875.00","$","Quite deep for a Glenmorangie, but still surprisingly balanced. Glenmorangie is a lighter-style spirit and, in the past, some of the older vintage expressions were heavy-handed on the wood. The oak aging is obvious on the nose, but this whisky manages to walk the thin line between enjoying the maturity and depth of an older whisky without too much oak influence.
"
"337","Glenmorangie Bacalta, 46%","Single Malt Scotch","91","100","$","The 8th Private Edition release. This one is finished in sun-baked casks which previously contained Malmsey Madeira. A predominantly sweet and fruity whisky, with caramel, honeyed almonds, peaches in syrup, and orange scone. Soft, soothing finish. Delicious!"
"338","Glenrothes, 1987 vintage, 43%","Single Malt Scotch","91","100.00","$","The most recent vintage from the 1980s. This whisky is very bright and lively. It dances on the palate with orange, tangerine, and lemon gum drops, balanced by vanilla, light caramel, hint of anise, and delicate oak. A whisky with great finesse and drinkability. 
"
"339","Lagavulin, Distillers' Edition, 1991 Vintage, 43%","Single Malt Scotch","91","100.00","$","More polished and sophisticated than the comparably sweet and lush Lagavulin 21 year old also reviewed here. The pedro ximinez cask finish certainly gives as much as it takes away when compared to the benchmark 16 year old. An array of complex ripe fruit, interwoven with notes of pot still rum, toffee, tar, seaweed, and brine on the finish. It seems logical to marry this big, smoky Islay whisky with an equally big, sweet, fruity sherry. In this case, the marriage works wonderfully.
"
"340","Lagavulin, 52.5%","Single Malt Scotch","91","112.00","$","You want and expect rich and peaty malt from Lagavulin and you get it here in droves, though not in the most obvious way. This version is somewhere between the cask strength 12 year old and the Distiller’s Edition, rather than the standard 16 year old, but it’s an absolute peach and a treat for lovers of this distillery. The nose is constrained and shy at first, with lychee and kiwi fruit offering a sweet and gentle carpet to coastal peaty notes. The palate is big, rich, full, and peppered, with sharp apple and citrus fruits. It benefits from water, too, as there’s a delightful swell of fruit, chili, peat, and soft licorice. As with all great Lagavulins, the tarry peatiness lingers longest in the finish."
"341","Laphroaig, 30 year old, 43%","Single Malt Scotch","91","225.00","$","Deep amber color. Wonderfully complex, and nicely balanced aroma and flavor of vanilla sweetness, tarry rope, oak, toffee, seaweed, and brine. Medium to full in body, and creamy in texture, with a finish that doesn't quit."
"342","Laphroaig Quarter Cask, 48%","Single Malt Scotch","91","50.00","$","The whisky begins sweet and creamy, with notes of vanilla, honey, and ripe malt (reminiscent of a malting floor). Then the Laphroaig signature peat smoke, seaweed, tar, and medicinal notes emerge. Bottling at 48% and without chill-filtering keeps the whisky from being dulled down. A whisky that is very dynamic. Nicely done. 
"
